card_number,transaction_amount,country,merchant,transaction_time,fraud
4532015112830366,120.50,US,Amazon,2025-02-15 14:32:00,0
5500005555555559,450.00,UK,eBay,2025-02-16 09:15:00,1
371449635398431,89.99,IN,Flipkart,2025-02-17 18:45:00,0
6011000990139424,300.00,CA,Walmart,2025-02-18 12:10:00,1
4532758771091795,15.00,US,Starbucks,2025-02-19 08:05:00,0
5105105105105100,999.99,US,BestBuy,2025-02-20 20:20:00,1
378282246310005,45.00,AU,Coles,2025-02-21 11:11:00,0
6011111111111117,60.00,US,Target,2025-02-22 16:30:00,0
4111111111111111,5.99,US,McDonalds,2025-02-23 07:45:00,0
5555555555554444,250.00,UK,ASOS,2025-02-24 19:00:00,1
4000000000000002,35.00,IN,BigBasket,2025-02-25 10:10:00,0
5105105105105106,75.00,US,HomeDepot,2025-02-26 13:00:00,0
378734493671000,150.00,US,Apple,2025-02-27 09:30:00,1
6011000990139424,20.00,CA,Costco,2025-02-28 18:00:00,0
4111111111111,8.50,US,Subway,2025-03-01 12:00:00,0
5555555555554444,600.00,UK,ASOS,2025-03-02 21:00:00,1
4222222222222,12.00,US,Starbucks,2025-03-03 07:00:00,0
378282246310005,220.00,AU,JBHiFi,2025-03-04 15:45:00,1
6011111111111117,40.00,US,Target,2025-03-05 11:20:00,0
4111111111111111,3.99,US,McDonalds,2025-03-06 06:50:00,0
