card_number,transaction_amount,country,merchant,transaction_time,issuer,is_valid
4532015112830366,120.50,US,Amazon,2025-02-15 14:32:00,Visa,True
5500005555555559,450.00,UK,eBay,2025-02-16 09:15:00,MasterCard,True
371449635398431,89.99,IN,Flipkart,2025-02-17 18:45:00,American Express,True
6011000990139424,300.00,CA,Walmart,2025-02-18 12:10:00,Discover,True
4532758771091795,15.00,US,Starbucks,2025-02-19 08:05:00,Visa,True
5105105105105100,999.99,US,BestBuy,2025-02-20 20:20:00,MasterCard,False
378282246310005,45.00,AU,Coles,2025-02-21 11:11:00,American Express,True
6011111111111117,60.00,US,Target,2025-02-22 16:30:00,Discover,True
4111111111111111,5.99,US,McDonalds,2025-02-23 07:45:00,Visa,True
5555555555554444,250.00,UK,ASOS,2025-02-24 19:00:00,MasterCard,True
